name,assembly_barcode,assembly_status,city,collection_date,collection_month,collection_time,DATE,comment,continent,country,county,created,download_fasta_link,email,lab_contact,lastmodified,latitude,longitude,n50,orderby,postcode,region,sample_accession,secondary_sample_accession,serotype,source_details,source_niche,source_type,strain_barcode,strain_name,sts,top_species,uberstrain,version,GENOTYPE,cgMLST,cgMLST_v2,rMLST,wgMLST,d5,d150,d400,d0,d2000,d2,d200,d2600,d50,d900,d100,d2850,d10,d20,dashboard view
SAL_AA7437AA,SAL_EA2043AA_AS,Assembled,,,1,,2011,,Europe,Denmark,,2015-08-28T07:34:42.674717+00:00,http://enterobase-1:8002/upload/download?assembly_barcode=SAL_EA2043AA_AS&database=senterica,gf1365@uni-giessen.de,DTU-GE,2018-11-29T13:47:47.793516+00:00,,,225797,barcode,,,SAMEA3268969,ERS664901,Typhimurium (Predicted),Sus scrofa domesticus; Faeces,Livestock,Swine,SAL_AA7437AA,2011-60-469-1,"[{'scheme_name': 'wgMLST', 'st_barcode': 'SAW_EA4685AA_ST', 'st_id': 44682, 'timestamp': '2016-10-13 18:33:52.247636', 'version': '3.1'}, {'scheme_name': 'cgMLST', 'st_barcode': 'SAL_KA0714AA_ST', 'st_id': 3327, 'timestamp': '2016-10-13 18:49:11.876412', 'version': '3.1'}, {'scheme_name': 'MLST_Achtman', 'st_barcode': 'SAL_AA0019AA_ST', 'st_complex': '1', 'st_id': 19, 'timestamp': '2018-01-27 05:04:58.950162', 'version': '3.0'}, {'scheme_name': 'rMLST', 'species': 'Salmonella enterica', 'st_barcode': 'RML_AA1394AA_ST', 'st_complex': '1', 'st_id': 1395, 'timestamp': '2018-01-28 22:34:39.246931', 'version': '3.0'}, {'scheme_name': 'cgMLST_v2', 'st_barcode': 'SAW_IA4557AA_ST', 'st_id': 39322, 'timestamp': '2016-10-13 18:38:26.566379', 'version': '3.1', 'HC': {'d0': '39322', 'd10': '39322', 'd100': '201', 'd150': '41', 'd2': '39322', 'd20': '39322', 'd200': '2', 'd2000': '2', 'd2600': '2', 'd2850': '2', 'd400': '2', 'd5': '39322', 'd50': '293', 'd900': '2'}}]",Salmonella enterica;100.0%,SAL_AA7437AA,1,19,3327,39322,1395,44682,39322,41,2,39322,2,39322,2,2,293,2,201,2,39322,39322,include
SAL_AA7438AA,SAL_EA2042AA_AS,Assembled,,,1,,2011,,Europe,Denmark,,2015-08-28T07:34:42.674717+00:00,http://enterobase-1:8002/upload/download?assembly_barcode=SAL_EA2042AA_AS&database=senterica,gf1365@uni-giessen.de,Technical University of Denmark,2018-11-29T13:47:47.793516+00:00,,,274644,barcode,,,SAMEA3268968,ERS664900,Typhimurium (Predicted),Sus scrofa domesticus; Faeces,Livestock,Swine,SAL_AA7438AA,2011-60-298-1,"[{'scheme_name': 'cgMLST_v2', 'st_barcode': 'SAW_IA4556AA_ST', 'st_id': 39321, 'timestamp': '2016-10-13 18:37:00.992886', 'version': '3.1', 'HC': {'d0': '39321', 'd10': '2', 'd100': '2', 'd150': '2', 'd2': '3515', 'd20': '2', 'd200': '2', 'd2000': '2', 'd2600': '2', 'd2850': '2', 'd400': '2', 'd5': '3515', 'd50': '2', 'd900': '2'}}, {'scheme_name': 'MLST_Achtman', 'st_barcode': 'SAL_AA0034AA_ST', 'st_complex': '1', 'st_id': 34, 'timestamp': '2018-01-28 22:37:51.376192', 'version': '3.0'}, {'scheme_name': 'cgMLST', 'st_barcode': 'SAL_RA5194AA_ST', 'st_id': 38284, 'timestamp': '2016-10-13 18:49:00.532234', 'version': '3.1'}, {'scheme_name': 'wgMLST', 'st_barcode': 'SAW_EA4670AA_ST', 'st_id': 44667, 'timestamp': '2016-10-13 18:33:39.352840', 'version': '3.1'}, {'scheme_name': 'rMLST', 'species': 'Salmonella enterica', 'st_barcode': 'RML_AA1368AA_ST', 'st_complex': '1', 'st_id': 1369, 'timestamp': '2018-01-27 22:45:54.430427', 'version': '3.0'}]",Salmonella enterica;97.56%,SAL_AA7438AA,1,34,38284,39321,1369,44667,3515,2,2,39321,2,3515,2,2,2,2,2,2,2,2,include
SAL_AA7439AA,SAL_EA2044AA_AS,Assembled,,,1,,2011,,Europe,Denmark,,2015-08-28T07:34:42.674717+00:00,http://enterobase-1:8002/upload/download?assembly_barcode=SAL_EA2044AA_AS&database=senterica,gf1365@uni-giessen.de,DTU-GE,2018-11-29T13:47:47.793516+00:00,,,282696,barcode,,,SAMEA3268967,ERS664899,Typhimurium,Sus scrofa domesticus; Faeces,Livestock,Swine,SAL_AA7439AA,2011-60-312-1,"[{'scheme_name': 'rMLST', 'species': 'Salmonella enterica', 'st_barcode': 'RML_AA1368AA_ST', 'st_complex': '1', 'st_id': 1369, 'timestamp': '2018-01-27 22:45:54.430627', 'version': '3.0'}, {'scheme_name': 'wgMLST', 'st_barcode': 'SAW_EA4691AA_ST', 'st_id': 44688, 'timestamp': '2016-10-13 18:33:52.250808', 'version': '3.1'}, {'scheme_name': 'cgMLST', 'st_barcode': 'SAL_RA5193AA_ST', 'st_id': 38283, 'timestamp': '2016-10-13 18:49:12.114854', 'version': '3.1'}, {'scheme_name': 'MLST_Achtman', 'st_barcode': 'SAL_AA0034AA_ST', 'st_complex': '1', 'st_id': 34, 'timestamp': '2018-01-28 22:37:51.376389', 'version': '3.0'}, {'scheme_name': 'cgMLST_v2', 'st_barcode': 'SAW_IA4555AA_ST', 'st_id': 39320, 'timestamp': '2016-10-13 18:38:26.562969', 'version': '3.1', 'HC': {'d0': '39320', 'd10': '29153', 'd100': '2', 'd150': '2', 'd2': '39320', 'd20': '2', 'd200': '2', 'd2000': '2', 'd2600': '2', 'd2850': '2', 'd400': '2', 'd5': '29153', 'd50': '2', 'd900': '2'}}]",Salmonella enterica;98.56%,SAL_AA7439AA,1,34,38283,39320,1369,44688,29153,2,2,39320,2,39320,2,2,2,2,2,2,29153,2,include
SAL_AA7440AA,SAL_CA0826AA_AS,Assembled,,,1,,2011,,Europe,Denmark,,2015-08-27T11:45:33.630924+00:00,http://enterobase-1:8002/upload/download?assembly_barcode=SAL_CA0826AA_AS&database=senterica,gf1365@uni-giessen.de,DTU-GE,2018-11-16T18:10:14.305131+00:00,,,219517,barcode,,,SAMEA3268966,ERS664898,Typhimurium (Predicted),Sus scrofa domesticus; Faeces,Livestock,Swine,SAL_AA7440AA,2011-60-382-1,"[{'scheme_name': 'MLST_Achtman', 'st_barcode': 'SAL_AA0019AA_ST', 'st_complex': '1', 'st_id': 19, 'timestamp': '2018-01-27 05:04:59.512167', 'version': '3.0'}, {'scheme_name': 'cgMLST_v2', 'st_barcode': 'SAW_IA4554AA_ST', 'st_id': 39319, 'timestamp': '2016-10-13 18:38:26.559577', 'version': '3.1', 'HC': {'d0': '39319', 'd10': '39319', 'd100': '1420', 'd150': '305', 'd2': '39319', 'd20': '39319', 'd200': '2', 'd2000': '2', 'd2600': '2', 'd2850': '2', 'd400': '2', 'd5': '39319', 'd50': '5257', 'd900': '2'}}, {'scheme_name': 'rMLST', 'species': 'Salmonella enterica', 'st_barcode': 'RML_AA3482AA_ST', 'st_complex': '1', 'st_id': 3484, 'timestamp': '2018-01-27 22:46:35.035170', 'version': '3.0'}, {'scheme_name': 'cgMLST', 'st_barcode': 'SAL_KA0715AA_ST', 'st_id': 3328, 'timestamp': '2016-10-13 18:47:01.213097', 'version': '3.1'}, {'scheme_name': 'wgMLST', 'st_barcode': 'SAW_EA4689AA_ST', 'st_id': 44686, 'timestamp': '2016-10-13 18:35:25.241819', 'version': '3.1'}]",Salmonella enterica;95.39%,SAL_AA7440AA,1,19,3328,39319,3484,44686,39319,305,2,39319,2,39319,2,2,5257,2,1420,2,39319,39319,include
SAL_AA7441AA,SAL_EA2046AA_AS,Assembled,,,1,,2011,,Europe,Denmark,,2015-08-28T07:34:42.674717+00:00,http://enterobase-1:8002/upload/download?assembly_barcode=SAL_EA2046AA_AS&database=senterica,gf1365@uni-giessen.de,DTU-GE,2018-11-29T13:47:47.793516+00:00,,,282623,barcode,,,SAMEA3268965,ERS664897,Typhimurium,Sus scrofa domesticus; Faeces,Livestock,Swine,SAL_AA7441AA,2011-60-273-1,"[{'scheme_name': 'rMLST', 'species': 'Salmonella enterica', 'st_barcode': 'RML_AA1368AA_ST', 'st_complex': '1', 'st_id': 1369, 'timestamp': '2018-01-27 22:45:54.430828', 'version': '3.0'}, {'scheme_name': 'wgMLST', 'st_barcode': 'SAW_EA4678AA_ST', 'st_id': 44675, 'timestamp': '2016-10-13 18:33:52.244361', 'version': '3.1'}, {'scheme_name': 'cgMLST', 'st_barcode': 'SAL_RA5192AA_ST', 'st_id': 38282, 'timestamp': '2016-10-13 18:49:12.111531', 'version': '3.1'}, {'scheme_name': 'MLST_Achtman', 'st_barcode': 'SAL_AA0034AA_ST', 'st_complex': '1', 'st_id': 34, 'timestamp': '2018-01-28 22:37:51.376586', 'version': '3.0'}, {'scheme_name': 'cgMLST_v2', 'st_barcode': 'SAW_IA4553AA_ST', 'st_id': 39318, 'timestamp': '2016-10-13 18:38:26.555613', 'version': '3.1', 'HC': {'d0': '39318', 'd10': '39318', 'd100': '2', 'd150': '2', 'd2': '39318', 'd20': '2', 'd200': '2', 'd2000': '2', 'd2600': '2', 'd2850': '2', 'd400': '2', 'd5': '39318', 'd50': '2', 'd900': '2'}}]",Salmonella enterica;100.0%,SAL_AA7441AA,1,34,38282,39318,1369,44675,39318,2,2,39318,2,39318,2,2,2,2,2,2,39318,2,include
SAL_AA7442AA,SAL_EA2045AA_AS,Assembled,,,1,,2011,,Europe,Denmark,,2015-08-28T07:34:42.674717+00:00,http://enterobase-1:8002/upload/download?assembly_barcode=SAL_EA2045AA_AS&database=senterica,gf1365@uni-giessen.de,DTU-GE,2018-11-29T13:47:47.793516+00:00,,,246815,barcode,,,SAMEA3268964,ERS664896,Typhimurium (Predicted),Sus scrofa domesticus; Faeces,Livestock,Swine,SAL_AA7442AA,2011-60-272-1,"[{'scheme_name': 'cgMLST_v2', 'st_barcode': 'SAW_IA4552AA_ST', 'st_id': 39317, 'timestamp': '2016-10-13 18:38:26.552333', 'version': '3.1', 'HC': {'d0': '39317', 'd10': '39317', 'd100': '201', 'd150': '41', 'd2': '39317', 'd20': '39317', 'd200': '2', 'd2000': '2', 'd2600': '2', 'd2850': '2', 'd400': '2', 'd5': '39317', 'd50': '1443', 'd900': '2'}}, {'scheme_name': 'rMLST', 'species': 'Salmonella enterica', 'st_barcode': 'RML_AA1394AA_ST', 'st_complex': '1', 'st_id': 1395, 'timestamp': '2018-01-28 22:34:39.246636', 'version': '3.0'}, {'scheme_name': 'cgMLST', 'st_barcode': 'SAL_KA0718AA_ST', 'st_id': 3331, 'timestamp': '2016-10-13 18:49:11.879721', 'version': '3.1'}, {'scheme_name': 'wgMLST', 'st_barcode': 'SAW_EA4674AA_ST', 'st_id': 44671, 'timestamp': '2016-10-13 18:35:25.235552', 'version': '3.1'}, {'scheme_name': 'MLST_Achtman', 'st_barcode': 'SAL_AA0019AA_ST', 'st_complex': '1', 'st_id': 19, 'timestamp': '2018-01-27 05:04:58.950369', 'version': '3.0'}]",Salmonella enterica;100.0%,SAL_AA7442AA,1,19,3331,39317,1395,44671,39317,41,2,39317,2,39317,2,2,1443,2,201,2,39317,39317,include
SAL_AA7443AA,SAL_EA2047AA_AS,Assembled,,,1,,2011,,Europe,Denmark,,2015-08-28T07:34:42.674717+00:00,http://enterobase-1:8002/upload/download?assembly_barcode=SAL_EA2047AA_AS&database=senterica,gf1365@uni-giessen.de,DTU-GE,2018-11-29T13:47:47.793516+00:00,,,190422,barcode,,,SAMEA3268963,ERS664895,Typhimurium (Predicted),Sus scrofa domesticus; Faeces,Livestock,Swine,SAL_AA7443AA,2011-60-271-1,"[{'scheme_name': 'rMLST', 'species': 'Salmonella enterica', 'st_barcode': 'RML_AA1340AA_ST', 'st_complex': '1', 'st_id': 1341, 'timestamp': '2018-01-28 22:36:18.701036', 'version': '3.0'}, {'scheme_name': 'cgMLST', 'st_barcode': 'SAL_KA0719AA_ST', 'st_id': 3332, 'timestamp': '2016-10-13 18:49:11.883211', 'version': '3.1'}, {'scheme_name': 'cgMLST_v2', 'st_barcode': 'SAW_IA4551AA_ST', 'st_id': 39316, 'timestamp': '2016-10-13 18:38:26.549022', 'version': '3.1', 'HC': {'d0': '39316', 'd10': '39316', 'd100': '41', 'd150': '41', 'd2': '39316', 'd20': '5062', 'd200': '2', 'd2000': '2', 'd2600': '2', 'd2850': '2', 'd400': '2', 'd5': '39316', 'd50': '41', 'd900': '2'}}, {'scheme_name': 'MLST_Achtman', 'st_barcode': 'SAL_AA0019AA_ST', 'st_complex': '1', 'st_id': 19, 'timestamp': '2018-01-27 05:04:58.950574', 'version': '3.0'}, {'scheme_name': 'wgMLST', 'st_barcode': 'SAW_EA4673AA_ST', 'st_id': 44670, 'timestamp': '2016-10-13 18:35:25.232396', 'version': '3.1'}]",Salmonella enterica;100.0%,SAL_AA7443AA,1,19,3332,39316,1341,44670,39316,41,2,39316,2,39316,2,2,41,2,41,2,39316,5062,include
SAL_AA7444AA,SAL_EA2049AA_AS,Assembled,,,1,,2011,,Europe,Denmark,,2015-08-28T07:34:42.674717+00:00,http://enterobase-1:8002/upload/download?assembly_barcode=SAL_EA2049AA_AS&database=senterica,gf1365@uni-giessen.de,DTU-GE,2018-11-29T13:47:47.793516+00:00,,,212306,barcode,,,SAMEA3268962,ERS664894,Typhimurium (Predicted),Sus scrofa domesticus; Faeces,Livestock,Swine,SAL_AA7444AA,2011-60-120-1,"[{'scheme_name': 'rMLST', 'species': 'Salmonella enterica', 'st_barcode': 'RML_AA1394AA_ST', 'st_complex': '1', 'st_id': 1395, 'timestamp': '2018-01-28 22:34:39.262713', 'version': '3.0'}, {'scheme_name': 'wgMLST', 'st_barcode': 'SAW_EA4666AA_ST', 'st_id': 44663, 'timestamp': '2016-10-13 18:35:18.456052', 'version': '3.1'}, {'scheme_name': 'cgMLST', 'st_barcode': 'SAL_RA5211AA_ST', 'st_id': 38299, 'timestamp': '2016-10-13 18:47:01.294194', 'version': '3.1'}, {'scheme_name': 'MLST_Achtman', 'st_barcode': 'SAL_AA0019AA_ST', 'st_complex': '1', 'st_id': 19, 'timestamp': '2018-01-27 05:04:58.950778', 'version': '3.0'}, {'scheme_name': 'cgMLST_v2', 'st_barcode': 'SAW_IA4550AA_ST', 'st_id': 39315, 'timestamp': '2016-10-13 18:37:00.989095', 'version': '3.1', 'HC': {'d0': '39315', 'd10': '39315', 'd100': '201', 'd150': '41', 'd2': '39315', 'd20': '39315', 'd200': '2', 'd2000': '2', 'd2600': '2', 'd2850': '2', 'd400': '2', 'd5': '39315', 'd50': '293', 'd900': '2'}}]",Salmonella enterica;100.0%,SAL_AA7444AA,1,19,38299,39315,1395,44663,39315,41,2,39315,2,39315,2,2,293,2,201,2,39315,39315,include
SAL_AA7484AA,SAL_EA2048AA_AS,Assembled,Abuja,,,,2010,,Africa,Nigeria,Municipal Area Council,2015-08-28T07:34:42.674717+00:00,http://enterobase-1:8002/upload/download?assembly_barcode=SAL_EA2048AA_AS&database=senterica,,The Wellcome Trust Sanger Institute,2018-11-29T13:47:47.793516+00:00,,,185404,barcode,,Federal Capital Territory,SAMEA2603141,ERS481127,Typhi,Homo sapiens; blood,Human,Human,SAL_AA7484AA,PO1747,"[{'scheme_name': 'cgMLST', 'st_barcode': 'SAL_RA5243AA_ST', 'st_id': 38327, 'timestamp': '2016-10-13 18:49:12.173589', 'version': '3.1'}, {'predicted_serotype': 'Typhi', 'scheme_name': 'MLST_Achtman', 'st_barcode': 'SAL_AA0002AA_ST', 'st_complex': '13', 'st_id': 2, 'timestamp': '2018-01-14 22:40:32.373089', 'version': '3.0'}, {'predicted_serotype': 'Typhi', 'scheme_name': 'rMLST', 'species': 'Salmonella enterica', 'st_barcode': 'RML_AA7910AA_ST', 'st_complex': '13.1', 'st_id': 7912, 'timestamp': '2018-01-08 04:44:11.739344', 'version': '3.0'}, {'scheme_name': 'cgMLST_v2', 'st_barcode': 'SAW_IA4526AA_ST', 'st_id': 39291, 'timestamp': '2016-10-13 18:38:26.521263', 'version': '3.1', 'HC': {'d0': '39291', 'd10': '3475', 'd100': '202', 'd150': '202', 'd2': '39284', 'd20': '3475', 'd200': '202', 'd2000': '202', 'd2600': '2', 'd2850': '2', 'd400': '202', 'd5': '3475', 'd50': '3475', 'd900': '202'}}, {'scheme_name': 'wgMLST', 'st_barcode': 'SAW_EA4648AA_ST', 'st_id': 44645, 'timestamp': '2016-10-13 18:33:52.223152', 'version': '3.1'}]",Salmonella enterica;100.0%,SAL_AA7484AA,1,2,38327,39291,7912,44645,3475,202,202,39291,202,39284,202,2,3475,202,202,2,3475,3475,include
SAL_AA7487AA,SAL_JA7681AA_AS,Assembled,Abuja,,,,2013,,Africa,Nigeria,,2015-11-09T10:49:29.253288+00:00,http://enterobase-1:8002/upload/download?assembly_barcode=SAL_JA7681AA_AS&database=senterica,,The Wellcome Trust Sanger Institute,2018-11-16T18:27:13.584000+00:00,,,173329,barcode,,,SAMEA2603136,ERS481122,Typhi,Homo sapiens; blood,Human,Human,SAL_AA7487AA,G1290,"[{'scheme_name': 'cgMLST', 'st_barcode': 'SAL_RA5233AA_ST', 'st_id': 38318, 'timestamp': '2016-10-13 18:49:20.663373', 'version': '3.1'}, {'scheme_name': 'cgMLST_v2', 'st_barcode': 'SAW_IA4523AA_ST', 'st_id': 39288, 'timestamp': '2016-10-13 18:38:26.511057', 'version': '3.1', 'HC': {'d0': '39288', 'd10': '3475', 'd100': '202', 'd150': '202', 'd2': '37139', 'd20': '3475', 'd200': '202', 'd2000': '202', 'd2600': '2', 'd2850': '2', 'd400': '202', 'd5': '3475', 'd50': '3475', 'd900': '202'}}, {'predicted_serotype': 'Typhi', 'scheme_name': 'rMLST', 'species': 'Salmonella enterica', 'st_barcode': 'RML_AA7910AA_ST', 'st_complex': '13.1', 'st_id': 7912, 'timestamp': '2018-01-08 04:44:11.734764', 'version': '3.0'}, {'predicted_serotype': 'Typhi', 'scheme_name': 'MLST_Achtman', 'st_barcode': 'SAL_AA0002AA_ST', 'st_complex': '13', 'st_id': 2, 'timestamp': '2018-01-14 22:40:32.587553', 'version': '3.0'}, {'scheme_name': 'wgMLST', 'st_barcode': 'SAW_EA4646AA_ST', 'st_id': 44643, 'timestamp': '2016-10-13 18:34:08.560445', 'version': '3.1'}]",Salmonella enterica;98.51%,SAL_AA7487AA,1,2,38318,39288,7912,44643,3475,202,202,39288,202,37139,202,2,3475,202,202,2,3475,3475,include
SAL_AA7488AA,SAL_JA7680AA_AS,Assembled,Abuja,,,,2013,,Africa,Nigeria,,2015-11-09T10:49:29.253288+00:00,http://enterobase-1:8002/upload/download?assembly_barcode=SAL_JA7680AA_AS&database=senterica,,The Wellcome Trust Sanger Institute,2018-11-16T18:51:11.219837+00:00,,,173329,barcode,,,SAMEA2603134,ERS481120,Typhi,Homo sapiens; blood,Human,Human,SAL_AA7488AA,G737,"[{'scheme_name': 'wgMLST', 'st_barcode': 'SAW_EA4651AA_ST', 'st_id': 44648, 'timestamp': '2016-10-13 18:33:52.226320', 'version': '3.1'}, {'scheme_name': 'cgMLST', 'st_barcode': 'SAL_RA5210AA_ST', 'st_id': 38298, 'timestamp': '2016-10-13 18:49:12.132110', 'version': '3.1'}, {'predicted_serotype': 'Typhi', 'scheme_name': 'MLST_Achtman', 'st_barcode': 'SAL_AA0002AA_ST', 'st_complex': '13', 'st_id': 2, 'timestamp': '2018-01-14 22:40:32.398521', 'version': '3.0'}, {'scheme_name': 'cgMLST_v2', 'st_barcode': 'SAW_IA4522AA_ST', 'st_id': 39287, 'timestamp': '2016-10-13 18:38:26.507724', 'version': '3.1', 'HC': {'d0': '39287', 'd10': '39253', 'd100': '202', 'd150': '202', 'd2': '39253', 'd20': '3475', 'd200': '202', 'd2000': '202', 'd2600': '2', 'd2850': '2', 'd400': '202', 'd5': '39253', 'd50': '3475', 'd900': '202'}}, {'predicted_serotype': 'Typhi', 'scheme_name': 'rMLST', 'species': 'Salmonella enterica', 'st_barcode': 'RML_AA7910AA_ST', 'st_complex': '13.1', 'st_id': 7912, 'timestamp': '2018-01-08 04:44:11.734933', 'version': '3.0'}]",Salmonella enterica;100.0%,SAL_AA7488AA,1,2,38298,39287,7912,44648,39253,202,202,39287,202,39253,202,2,3475,202,202,2,39253,3475,include
SAL_AA7489AA,SAL_JA7678AA_AS,Assembled,Abuja,,,,2012,,Africa,Nigeria,,2015-11-09T10:49:29.253288+00:00,http://enterobase-1:8002/upload/download?assembly_barcode=SAL_JA7678AA_AS&database=senterica,,The Wellcome Trust Sanger Institute,2018-11-16T18:51:11.219837+00:00,,,173329,barcode,,,SAMEA2603132,ERS481118,Typhi,Homo sapiens; blood,Human,Human,SAL_AA7489AA,G254,"[{'predicted_serotype': 'Typhi', 'scheme_name': 'MLST_Achtman', 'st_barcode': 'SAL_AA0002AA_ST', 'st_complex': '13', 'st_id': 2, 'timestamp': '2018-01-14 22:40:32.398172', 'version': '3.0'}, {'scheme_name': 'cgMLST', 'st_barcode': 'SAL_RA5213AA_ST', 'st_id': 38301, 'timestamp': '2016-10-13 18:49:12.139091', 'version': '3.1'}, {'scheme_name': 'wgMLST', 'st_barcode': 'SAW_EA4645AA_ST', 'st_id': 44642, 'timestamp': '2016-10-13 18:33:52.216307', 'version': '3.1'}, {'predicted_serotype': 'Typhi', 'scheme_name': 'rMLST', 'species': 'Salmonella enterica', 'st_barcode': 'RML_AA7910AA_ST', 'st_complex': '13.1', 'st_id': 7912, 'timestamp': '2018-01-08 04:44:11.735102', 'version': '3.0'}, {'scheme_name': 'cgMLST_v2', 'st_barcode': 'SAW_IA4488AA_ST', 'st_id': 39253, 'timestamp': '2016-10-13 18:38:26.457223', 'version': '3.1', 'HC': {'d0': '39253', 'd10': '39253', 'd100': '202', 'd150': '202', 'd2': '39253', 'd20': '3475', 'd200': '202', 'd2000': '202', 'd2600': '2', 'd2850': '2', 'd400': '202', 'd5': '39253', 'd50': '3475', 'd900': '202'}}]",Salmonella enterica;100.0%,SAL_AA7489AA,1,2,38301,39253,7912,44642,39253,202,202,39253,202,39253,202,2,3475,202,202,2,39253,3475,include
SAL_AA7490AA,SAL_JA7679AA_AS,Assembled,Kano,,,,2013,,Africa,Nigeria,,2015-11-09T10:49:29.253288+00:00,http://enterobase-1:8002/upload/download?assembly_barcode=SAL_JA7679AA_AS&database=senterica,,The Wellcome Trust Sanger Institute,2018-11-16T18:51:11.219837+00:00,,,204303,barcode,,Kano,SAMEA2603131,ERS481117,Typhi,Homo sapiens; blood,Human,Human,SAL_AA7490AA,C1331,"[{'scheme_name': 'cgMLST', 'st_barcode': 'SAL_RA5200AA_ST', 'st_id': 38290, 'timestamp': '2016-10-13 18:49:00.536388', 'version': '3.1'}, {'predicted_serotype': 'Typhi', 'scheme_name': 'rMLST', 'species': 'Salmonella enterica', 'st_barcode': 'RML_AA1415AA_ST', 'st_complex': '13.1', 'st_id': 1416, 'timestamp': '2018-01-27 22:44:01.982829', 'version': '3.0'}, {'scheme_name': 'cgMLST_v2', 'st_barcode': 'SAW_IA4521AA_ST', 'st_id': 39286, 'timestamp': '2016-10-13 18:37:00.940427', 'version': '3.1', 'HC': {'d0': '39286', 'd10': '39260', 'd100': '3260', 'd150': '202', 'd2': '39286', 'd20': '3260', 'd200': '202', 'd2000': '202', 'd2600': '2', 'd2850': '2', 'd400': '202', 'd5': '39286', 'd50': '3260', 'd900': '202'}}, {'scheme_name': 'wgMLST', 'st_barcode': 'SAW_EA4643AA_ST', 'st_id': 44640, 'timestamp': '2016-10-13 18:34:08.557270', 'version': '3.1'}, {'predicted_serotype': 'Typhi', 'scheme_name': 'MLST_Achtman', 'st_barcode': 'SAL_AA0002AA_ST', 'st_complex': '13', 'st_id': 2, 'timestamp': '2018-01-14 22:40:32.398346', 'version': '3.0'}]",Salmonella enterica;100.0%,SAL_AA7490AA,1,2,38290,39286,1416,44640,39286,202,202,39286,202,39286,202,2,3260,202,3260,2,39260,3260,include
SAL_AA7491AA,SAL_JA7677AA_AS,Assembled,Abuja,,,,2011,,Africa,Nigeria,Municipal Area Council,2015-11-09T10:49:29.253288+00:00,http://enterobase-1:8002/upload/download?assembly_barcode=SAL_JA7677AA_AS&database=senterica,,The Wellcome Trust Sanger Institute,2018-11-16T18:51:11.219837+00:00,,,204303,barcode,,Federal Capital Territory,SAMEA2603129,ERS481115,Typhi,Homo sapiens; blood,Human,Human,SAL_AA7491AA,PO2434,"[{'scheme_name': 'wgMLST', 'st_barcode': 'SAW_EA4642AA_ST', 'st_id': 44639, 'timestamp': '2016-10-13 18:33:52.209812', 'version': '3.1'}, {'predicted_serotype': 'Typhi', 'scheme_name': 'MLST_Achtman', 'st_barcode': 'SAL_AA0002AA_ST', 'st_complex': '13', 'st_id': 2, 'timestamp': '2018-01-14 22:40:32.596867', 'version': '3.0'}, {'scheme_name': 'cgMLST', 'st_barcode': 'SAL_RA5212AA_ST', 'st_id': 38300, 'timestamp': '2016-10-13 18:49:12.135581', 'version': '3.1'}, {'predicted_serotype': 'Typhi', 'scheme_name': 'rMLST', 'species': 'Salmonella enterica', 'st_barcode': 'RML_AA1415AA_ST', 'st_complex': '13.1', 'st_id': 1416, 'timestamp': '2018-01-27 22:44:01.982655', 'version': '3.0'}, {'scheme_name': 'cgMLST_v2', 'st_barcode': 'SAW_IA4520AA_ST', 'st_id': 39285, 'timestamp': '2016-10-13 18:38:26.504521', 'version': '3.1', 'HC': {'d0': '39285', 'd10': '39285', 'd100': '6624', 'd150': '202', 'd2': '39285', 'd20': '39285', 'd200': '202', 'd2000': '202', 'd2600': '2', 'd2850': '2', 'd400': '202', 'd5': '39285', 'd50': '39285', 'd900': '202'}}]",Salmonella enterica;100.0%,SAL_AA7491AA,1,2,38300,39285,1416,44639,39285,202,202,39285,202,39285,202,2,39285,202,6624,2,39285,39285,include
