NAME,MLST ST (Pasteur),MLST PROFILE (Pasteur),CGMLST,LINCODE,SUBLINEAGE,CLONAL GROUP,Inc Types,K Locus (wzi),Capsule type,O LOCUS,O type,Virulence Score,AEROBACTIN (AbST),COLIBACTIN (CbST),SALMOCHELIN (SmST),YERSINIABACTIN (YbST),RmpADC,rmpA2
ERR1204835,395,3_1_2_4_1_1_4,1620,0_0_106_0_3_0_0_4_0_0,395,395,Col(pHAD28); IncR,KL2 (wzi2),K2,O1/O2v1,O1,1,0,0,0,ybt 16; ICEKp12 (530-2LV),-,-
ERR1204836,17,2_1_1_1_4_4_4,1613,0_0_22_24_6_0_0_0_0_0,17,17,IncFIB(K); IncFII(K),KL25 (wzi141),K25,O5,O5,1,0,0,0,ybt 14; ICEKp5 (140-2LV),-,-
ERR1204837,995,2_6_1_1_1_1_1,1621,0_0_1_3_1_0_0_0_0_0,14,995,IncFIB(K); IncFII(K),KL117 (wzi215),unknown (KL117),O1/O2v1,O1,0,0,0,0,0,-,-
ERR1204839,17,2_1_1_1_4_4_4,1622,0_0_22_24_6_0_0_0_1_0,17,17,Col440I; IncFIB(K); IncFII(K),KL25 (wzi141),K25,O5,O5,1,0,0,0,ybt 14; ICEKp5 (140-1LV),-,-
ERR1204840,113,14_1_2_1_21_1_23,1624,0_0_32_2_0_0_0_0_0_0,113,113,,KL114 (wzi355),unknown (KL114),O3/O3a,O3/O3a,1,0,0,0,ybt 8; ICEKp3 (372-1LV),-,-
ERR1204842,11,3_3_1_1_1_1_4,2253,0_0_105_0_3_0_1_0_18_0,258,340,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncR; repB(R1701),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204843,37,2_9_2_1_13_1_16,2254,0_0_109_4_0_0_0_0_0_0,37,2867,Col(pHAD28); IncFIB(K); IncFII(K); IncHI2--IncHI2A,KL60 (-),K60,O5,O5,0,0,0,0,0,-,-
ERR1204844,25,2_1_1_1_10_4_13,2256,0_0_388_1_2_1_0_0_0_0,25,25,IncFIB(K)--IncFII(K),KL2 (wzi72),K2,O1/O2v2,O1,1,0,0,0,ybt 6; ICEKp5 (63),-,-
ERR1204845,11,3_3_1_1_1_1_4,2258,0_0_105_0_3_0_1_0_21_0,258,340,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncR,KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204846,11,3_3_1_1_1_1_4,2259,0_0_105_0_3_0_1_0_6_0,258,340,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncR; repB(R1701),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204847,11,3_3_1_1_1_1_4,2260,0_0_105_0_3_0_8_0_0_0,258,340,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncR; repB(R1701),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (truncated) (26-1LV),-,-
ERR1204848,1801,2_1_1_26_3_5_54,2263,0_0_167_0_2_0_0_0_0_0,1801,1801,ColRNAI; IncFIB(K),KL35 (-),K35,O1/O2v1,O1,4,iuc 3 (32),0,0,ybt 16; ICEKp12 (277-2LV),-,-
ERR1204849,42,2_6_1_3_8_1_15,2265,0_0_87_3_2_0_0_0_0_0,383,42,ColRNAI; IncFIB(K),KL64 (wzi33),K64,O1/O2v1,O1,0,0,0,0,0,-,-
ERR1204850,2447,14_1_2_1_9_1_23,2267,0_0_32_4_0_0_0_0_0_0,113,2447,,KL35 (wzi466),K35,O3/O3a,O3/O3a,1,0,0,0,ybt 8; ICEKp3 (372),-,-
ERR1204851,258,3_3_1_1_1_1_79,2276,0_0_105_6_0_0_17_143_0_0,258,258,Col(pHAD28); ColRNAI; IncFIA(pBK30683); repB(R1701),KL107 (wzi154),unknown (KL107),O1/O2v2,O2afg,2,0,clb 3 (52),0,ybt 17; ICEKp10 (289),-,-
ERR1204852,11,3_3_1_1_1_1_4,2277,0_0_105_0_3_0_1_18_0_0,258,340,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncR; repB(R1701),KL105 (wzi75),unknown (KL105),unknown (O1/O2v2),unknown (O2afg),1,0,0,0,ybt 10; ICEKp4 (truncated) (26-1LV),-,-
ERR1204854,11,3_3_1_1_1_1_4,2275,0_0_105_0_3_0_1_0_8_0,258,340,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncR; repB(R1701),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204855,11,3_3_1_1_1_1_4,2278,0_0_105_0_3_0_1_18_0_0,258,340,ColRNAI; IncFIA(pBK30683); IncFIB(K); IncFII(K); IncR; repB(R1701),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204856,11,3_3_1_1_1_1_4,2279,0_0_105_0_3_0_1_19_0_0,258,340,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncR; repB(R1701),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204857,11,3_3_1_1_1_1_4,2269,0_0_105_0_3_0_1_0_7_0,258,340,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncM2; IncR; repB(R1701),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204858,11,3_3_1_1_1_1_4,2271,0_0_105_0_3_0_1_6_0_0,258,340,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncM2; IncR; repB(R1701),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204859,11,3_3_1_1_1_1_4,2275,0_0_105_0_3_0_1_0_8_0,258,340,IncFIA(pBK30683); IncFIB(K); IncFII(K); repB(R1701),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204860,15,1_1_1_1_1_1_1,2280,0_0_0_0_2_0_0_51_0_0,15,15,ColpVC; IncFIA(pBK30683); IncR,KL24 (wzi24),K24,O1/O2v1,O1,0,0,0,0,0,-,-
ERR1204861,113,14_1_2_1_21_1_23,2281,0_0_32_2_1_0_0_0_0_0,113,113,,KL35 (wzi466),K35,O3/O3a,O3/O3a,1,0,0,0,ybt 8; ICEKp3 (372),-,-
ERR1204862,11,3_3_1_1_1_1_4,2278,0_0_105_0_3_0_1_18_0_0,258,340,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncR; repB(R1701),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204863,11,3_3_1_1_1_1_4,2277,0_0_105_0_3_0_1_18_0_0,258,340,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncR,KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204864,258,3_3_1_1_1_1_79,2276,0_0_105_6_0_0_17_143_0_0,258,258,Col(pHAD28); ColRNAI; IncFIA(pBK30683); repB(R1701),KL107 (wzi154),unknown (KL107),O1/O2v2,O2afg,2,0,clb 3 (52),0,ybt 17; ICEKp10 (289),-,-
ERR1204865,11,3_3_1_1_1_1_4,2284,0_0_105_0_3_0_1_19_1_0,258,340,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncR; repB(R1701),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204866,3666,3_3_1_1_1_201_4,2285,0_0_105_11_0_0_0_5_4_0,258,3666,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncFII(pKPX1); IncR; repB(R1701),KL24 (wzi24),K24,O1/O2v1,O2a,1,0,0,0,ybt 15; ICEKp11 (230),-,-
ERR1204867,11,3_3_1_1_1_1_4,2269,0_0_105_0_3_0_1_0_7_0,258,340,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncM2; IncR; repB(R1701),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204868,11,3_3_1_1_1_1_4,2269,0_0_105_0_3_0_1_0_7_0,258,340,ColpVC; IncFIA(pBK30683); IncFIB(K); IncFII(K); IncM2; IncR; repB(R1701),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204869,11,3_3_1_1_1_1_4,2288,0_0_105_0_3_0_1_0_19_0,258,340,IncFIA(pBK30683); IncR; repB(R1701),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204870,3132,2_1_1_37_10_1_9,2289,0_0_72_0_1_0_0_0_0_0,3132,3132,Col(pHAD28); Col440I; IncFIB(K); IncFII(K),KL142 (wzi267),unknown (KL142),O1/O2v1,O1,0,0,0,0,0,-,-
ERR1204871,11,3_3_1_1_1_1_4,2290,0_0_105_0_3_0_1_0_20_0,258,340,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncR; repB(R1701),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4? (truncated) (22-1LV),-,-
ERR1204872,35,2_1_2_1_10_1_19,2291,0_0_131_2_0_0_0_0_0_0,35,10000,IncFIB(K)--IncFII(K),KL110 (wzi199),unknown (KL110),O1/O2v1,O1,1,0,0,0,ybt 16; ICEKp12 (287-1LV),-,-
ERR1204873,11,3_3_1_1_1_1_4,2292,0_0_105_0_3_0_1_19_2_0,258,340,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncR; repB(R1701),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204874,15,1_1_1_1_1_1_1,8892,0_0_0_0_2_0_0_15_0_0,15,15,Col(pHAD28); ColRNAI; ColpVC; IncFIB(K); IncR; repB(R1701),KL112 (wzi93),unknown (KL112),O1/O2v1,O1,1,0,0,0,ybt 10; ICEKp4 (17-1LV),-,-
ERR1204875,307,4_1_2_52_1_1_7,1731,0_0_369_0_0_0_0_0_4_0,307,307,Col(pHAD28); IncFIB(K); IncFII(K),KL102 (wzi173),unknown (KL102),O1/O2v2,O2afg,0,0,0,0,0,-,-
ERR1204876,11,3_3_1_1_1_1_4,1734,0_0_105_0_3_0_1_17_0_0,258,340,IncFIB(K); IncFII(K); IncR,KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,0,0,0,0,0,-,-
ERR1204877,3648,2_9_2_1_13_1_497,1735,0_0_109_23_4_0_0_0_0_0,37,3648,ColRNAI; IncFIB(K)(pCAV1099-114); IncL,KL15 (wzi50),K15,O4,O4,1,0,0,0,ybt 14; ICEKp5 (151-1LV),-,-
ERR1204878,3649,3_107_1_1_7_1_12,1737,0_0_158_4_0_0_0_0_0_0,45,3649,IncFIB(K); IncN,KL24 (wzi101),K24,O1/O2v1,O2a,3,iuc 3 (13-2LV),0,0,0,-,-
ERR1204879,307,4_1_2_52_1_1_7,1738,0_0_369_0_0_0_0_21_0_0,307,307,IncFIB(K); IncFII(K); IncL,KL102 (wzi173),unknown (KL102),O1/O2v2,O2afg,1,0,0,0,ybt 13; ICEKp2 (truncated) (500-1LV),-,-
ERR1204881,147,3_4_6_1_7_4_38,1739,0_0_197_0_4_0_2_1_0_0,147,147,Col(pHAD28); Col(pHAD28); IncFIB(pKPHS1),KL64 (wzi64),K64,O1/O2v1,O2a,0,0,0,0,0,-,-
ERR1204882,3147,2_5_6_1_12_4_4,1741,0_0_399_0_0_0_0_0_0_0,3147,3147,IncFIB(K); IncFII(K),KL38 (wzi473),K38,O12,O12,0,0,0,0,0,-,-
ERR1204883,37,2_9_2_1_13_1_16,1742,0_0_109_10_0_0_0_0_0_0,37,10186,ColRNAI; IncFIB(K); IncFII(K),KL125 (wzi85),unknown (KL125),O3/O3a,O3/O3a,0,0,0,0,0,-,-
ERR1204885,791,2_1_1_37_9_4_64,1745,0_0_292_1_0_0_0_0_0_0,1496,791,,KL62 (wzi322),K62,O1/O2v1,O1,0,0,0,0,0,-,-
ERR1204886,307,4_1_2_52_1_1_7,1747,0_0_369_0_0_0_0_0_1_1,307,307,IncFIB(K)--IncFII(K); IncN,KL102 (wzi173),unknown (KL102),O1/O2v2,O2afg,0,0,0,0,0,-,-
ERR1204888,405,2_1_62_3_10_4_110,1749,0_0_374_0_7_0_0_0_1_0,405,405,Col(pHAD28); Col440I; IncFIB(K); IncFII(pCRY); IncFII(pKP91),KL151 (wzi143),unknown (KL151),O4,O4,1,0,0,0,ybt 26; ICEKp18 (160-1LV),-,-
ERR1204889,307,4_1_2_52_1_1_7,1751,0_0_369_0_0_0_0_0_21_0,307,307,IncFIB(K); IncFII(K); IncL,KL102 (wzi173),unknown (KL102),O1/O2v2,O2afg,1,0,0,0,ybt 13; ICEKp2 (447-1LV),-,-
ERR1204890,395,3_1_2_4_1_1_4,1752,0_0_106_0_0_1_1_0_1_0,395,395,Col(pHAD28); IncR,KL108 (wzi105),unknown (KL108),O1/O2v2,O1,0,0,0,0,0,-,-
ERR1204891,307,4_1_2_52_1_1_7,1753,0_0_369_0_0_3_0_0_0_0,307,307,IncFIB(K); IncFII(K); IncL,KL102 (wzi173),unknown (KL102),O1/O2v2,O2afg,0,0,0,0,0,-,-
ERR1204892,307,4_1_2_52_1_1_7,1754,0_0_369_0_0_0_0_0_21_1,307,307,IncFIB(K); IncFII(K); IncL,KL102 (wzi173),unknown (KL102),O1/O2v2,O2afg,0,0,0,0,0,-,-
ERR1204894,37,2_9_2_1_13_1_16,1758,0_0_109_8_8_0_0_0_0_0,37,3796,Col(pHAD28),KL14 (wzi14),K14,O3b,O3b,0,0,0,0,0,-,-
ERR1204895,45,2_1_1_6_7_1_12,1759,0_0_158_8_0_2_0_0_0_0,45,45,IncFIB(K),KL24 (wzi101),K24,O1/O2v1,O2a,1,0,0,0,ybt 10; ICEKp4 (78-1LV),-,-
ERR1204899,134,3_1_2_1_1_1_4,1764,0_0_233_0_2_0_0_0_0_0,134,134,IncFIB(pKPHS1),KL25 (wzi168),K25,O5,O5,0,0,0,0,0,-,-
ERR1204900,14,1_6_1_1_1_1_1,1757,0_0_1_1_11_0_1_0_0_0,14,14,Col(MG828); IncFIB(K); IncN,KL2 (wzi2),K2,O1/O2v1,O1,1,0,0,0,ybt 9; ICEKp3 (183-1LV),-,-
ERR1204901,11,3_3_1_1_1_1_4,1766,0_0_105_0_3_0_5_0_0_0,258,340,Col(pHAD28); Col(pHAD28); IncFIB(K); IncFII; IncM2; IncR,KL125 (wzi177),unknown (KL125),O3b,O3b,0,0,0,0,0,-,-
ERR1204902,147,3_4_6_1_7_4_38,1767,0_0_197_0_4_0_6_0_0_0,147,147,Col(pHAD28); Col440I; IncFIA(pBK30683); IncFIB(K)(pCAV1099-114); IncHI1B(pNDM-MAR); pKP1433; repB(R1701),KL106 (wzi29),unknown (KL106),O1/O2v2,O2afg,0,0,0,0,0,-,-
ERR1204903,37,2_9_2_1_13_1_16,1768,0_0_109_14_0_0_0_0_0_0,37,10226,Col(pHAD28); Col(pHAD28); Col440I; IncFIB(K),KL136 (-),unknown (KL136),O1/O2v2,O2afg,0,0,0,0,0,-,-
ERR1204905,11,3_3_1_1_1_1_4,2480,0_0_105_0_3_0_1_10_0_0,258,340,IncFIB(K); IncFII(K); IncR; repB(R1701),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204906,11,3_3_1_1_1_1_4,2480,0_0_105_0_3_0_1_10_0_0,258,340,IncFIB(K); IncFII(K); IncR; repB(R1701),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204907,11,3_3_1_1_1_1_4,8829,0_0_105_11_0_1_2_0_0_0,258,3666,IncC; IncFIB(K); IncFII(K); IncR,KL2 (wzi2),K2,O1/O2v1,O2a,0,0,0,0,0,-,-
ERR1204908,11,3_3_1_1_1_1_4,1518,0_0_105_0_3_0_1_0_3_0,258,340,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncR; repB(R1701),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204909,15,1_1_1_1_1_1_1,2482,0_0_0_0_2_0_15_0_0_0,15,15,ColRNAI; ColpVC; IncFIA(pBK30683); IncFIB(pKPHS1); IncR; repB(R1701),KL112 (wzi93),unknown (KL112),O1/O2v1,O1,0,0,0,0,0,-,-
ERR1204910,11,3_3_1_1_1_1_4,2483,0_0_105_0_3_0_1_0_5_0,258,340,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncR; repB(R1701),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204911,15,1_1_1_1_1_1_1,2484,0_0_0_0_2_4_0_0_0_0,15,15,Col(pHAD28); ColpVC; IncFIA(pBK30683); IncFIB(K); IncFII(K); IncR,KL24 (wzi24),K24,O1/O2v1,O1,0,0,0,0,0,-,-
ERR1204912,11,3_3_1_1_1_1_4,1509,0_0_105_0_3_0_1_0_1_0,258,340,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncR; repB(R1701),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204913,11,3_3_1_1_1_1_4,1518,0_0_105_0_3_0_1_0_3_0,258,340,IncFIB(K); IncFII(K),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204914,11,3_3_1_1_1_1_4,2485,0_0_105_11_0_0_0_0_3_0,258,3666,IncFIB(K); IncFII(K); IncR,KL24 (wzi24),K24,O1/O2v1,O2a,0,0,0,0,0,-,-
ERR1204915,20,2_3_1_1_4_4_4,2487,0_0_22_2_4_0_0_0_0_0,17,20,IncFIA(HI1); IncFIB(K)(pCAV1099-114); IncFII(pBK30683); IncR; repB(R1701),KL64 (wzi33),K64,O1/O2v1,O1,0,0,0,0,0,-,-
ERR1204916,3674,3_4_1_97_27_50_4,2488,0_0_285_0_0_0_0_0_0_0,3072,3674,IncFIB(K),KL39 (wzi160),K39,O1/O2v1,O2a,0,0,0,0,0,-,-
ERR1204917,11,3_3_1_1_1_1_4,1509,0_0_105_0_3_0_1_0_1_0,258,340,IncFIA(pBK30683); IncFIB(K)--IncFII(K); IncR; repB(R1701),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204918,258,3_3_1_1_1_1_79,1782,0_0_105_6_0_0_0_50_6_0,258,258,ColRNAI; IncFIB(K); IncFIB(pQil); IncFII(K); IncX3,KL106 (wzi29),unknown (KL106),O1/O2v2,O2afg,1,0,0,0,ybt 13; ICEKp2 (299),-,-
ERR1204919,20,2_3_1_1_4_4_4,2489,0_0_22_2_15_0_0_0_0_0,17,20,Col(pHAD28); Col(pHAD28); Col440I; IncFIB(K); IncFIB(pNDM-Mar); IncFII(K); IncR,KL24 (wzi24),K24,O1/O2v1,O1,0,0,0,0,0,-,-
ERR1204920,11,3_3_1_1_1_1_4,2490,0_0_105_0_3_2_0_0_0_0,258,340,,KL105 (wzi75),unknown (KL105),unknown (OL102),unknown (OL102),0,0,0,0,0,-,-
ERR1204921,234,2_1_2_1_7_1_24,2491,0_0_367_0_0_0_0_0_0_0,10019,10254,Col(pHAD28); IncFIB(K); IncFII(K),KL30 (wzi272),K30,O1/O2v2,O1,0,0,0,0,0,-,-
ERR1204922,11,3_3_1_1_1_1_4,2492,0_0_105_11_0_1_0_0_1_0,258,3666,IncFIB(K); IncFII(K); IncR,KL2 (wzi2),K2,O1/O2v1,O2a,0,0,0,0,0,-,-
ERR1204923,11,3_3_1_1_1_1_4,2493,0_0_105_11_0_1_0_0_2_0,258,3666,IncFIB(K); IncFII(K); IncR,KL2 (wzi2),K2,O1/O2v1,O2a,0,0,0,0,0,-,-
ERR1204924,11,3_3_1_1_1_1_4,1518,0_0_105_0_3_0_1_0_3_0,258,340,Col440I; IncFIA(pBK30683); IncFIB(K); IncFII(K); IncR; repB(R1701),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204926,280,2_1_2_1_10_4_46,2495,0_0_230_0_3_0_0_0_0_0,280,280,IncFIB(K); IncFII(K),KL23 (wzi82),K23,O1/O2v2,O2afg,0,0,0,0,0,-,-
ERR1204927,11,3_3_1_1_1_1_4,2496,0_0_105_0_3_0_1_0_9_0,258,340,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncR; repB(R1701),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204928,251,2_35_2_35_56_4_19,2498,0_0_328_0_0_0_1_0_0_0,251,251,Col156; IncFIB(K),KL13 (wzi241),K13,O3b,O3b,0,0,0,0,0,-,-
ERR1204929,11,3_3_1_1_1_1_4,2499,0_0_105_11_0_1_1_0_0_0,258,3666,IncC; IncFIB(K); IncFII(K),KL2 (wzi2),K2,O1/O2v1,O2a,0,0,0,0,0,-,-
ERR1204930,11,3_3_1_1_1_1_4,2500,0_0_105_0_3_0_1_0_15_0,258,340,IncFIA(pBK30683); IncFIB(K); IncFII(K); IncR; repB(R1701),KL105 (wzi75),unknown (KL105),O1/O2v2,O2afg,1,0,0,0,ybt 10; ICEKp4 (26),-,-
ERR1204931,15,1_1_1_1_1_1_1,2501,0_0_0_0_2_4_0_0_1_0,15,15,Col(pHAD28); ColpVC; IncFIA(pBK30683); IncFIB(K); IncFII(K); IncR,KL24 (wzi24),K24,O1/O2v1,O1,0,0,0,0,0,-,-
ERR1204932,35,2_1_2_1_10_1_19,2502,0_0_131_1_12_0_0_0_0_0,35,35,IncFIB(K); IncFIB(pKPHS1),KL22 (wzi37),K22,O1/O2v1,O1,0,0,0,0,0,-,-
ERR1204933,461,3_1_13_34_63_1_64,2503,0_0_178_2_0_0_0_0_0_0,461,10174,Col440I; IncFIB(K); IncFIB(pQil); IncFII(K); IncFII(K); IncFII(pBK30683); IncR,KL60 (wzi201),K60,O1/O2v1,O2a,0,0,0,0,0,-,-
ERR1204934,340,3_3_1_1_1_1_18,2504,0_0_105_0_11_0_0_2_0_0,258,340,Col440I; Col440I; IncFIA(pBK30683); IncFIB(K); IncFII(K),KL15 (wzi50),K15,O4,O4,0,0,0,0,0,-,-
ERR1204935,323,2_1_1_1_9_1_93,2505,0_0_363_1_2_0_1_0_0_0,323,323,IncFIB(K); IncFII(K); IncFII(K); repB(R1701),KL21 (wzi262),K21,O3b,O3b,0,0,0,0,0,-,-
